SNo,Project Name,Scheme Name,PI Details
187,INSPIRE Faculty award Programe,"DST, New Delhi",Dr.KirtirajKundlik Gaikwad DST-1398-DPT
188,Metaheuristias Framework for Multi-objective Combinatorial optimization Problems (META-MoCop),"DST, New Delhi",Prof. Millie Pant DST-1628-DPT
189,Turning waste to wealth : Development of biodegradable packaging material from agriculture waste via green route for sustainable environment,"SERB, New Delhi",Pof. KirtirajK.Gaikwad SER-1778-DPT
190,Physico-chemical and biological characterization of novel materials for renewable and sustainable applications,"Bharat Energy Storage Technology, Hyderabad",Dr. K.M Poluri BST-1276-CTS
191,Optimizing electric bus routes for smart cities,"SERB, New Delhi",Prof. Hemant kumar Suman SER-1987-CTS
192,"Wazirabad blue-green infrastructure an innovative environmental network for urban risk reduction in gurugram, NCR","DST, New Delhi",Prof. Mahua Mukherjee DST-1555-DMC
193,INSPIRE FACULTY AWARD,"DST, New Delhi",Dr. Piyush Srivastava DST-1636-DMC
194,Development of a prototype territorial early warning system for precipitation induced sediment disasters (I.e. landslides and debris flows) in India,"IIRS, Dehradun",Prof. srikrishnan Siva Subramanian IIR-1902-DMC
195,Monitoring and modelling of hydro-glaciological processes in glaciated and non-glaciated watershed of north-west himalaya,"IIRS, Dehradun",Prof. Sumit Sen IIR-921-DMC
196,Monitoring and assessment of Mountain ecosystem and services in north-west himalaya (Phase-II) : Monitoring and modelling of hydro-glaciological processes in glaciated and non-glaciated watershed of north-west himalaya,"IIRS, Dehradun",Prof. Ajanta Goswami IIR-1922-DMC
197,Longitdinal survey for natural hazards,"Scientific coordinator of co-prepare, institute of environmental science and geography university of potsdam",Prof. Roopam Shukla LEN-1999-DMC
198,Avalanche hazard zoning and forecasting of snow avalanche using the machine and deep learning approaches,"Indian Institute of Remote sensing (IIRS), Dehradun",Prof. Ajanta Goswami IIR-1872-DMC
199,Design and development of co ffee harvesting machine,Central Coffee Research Institute,Prof. Bibhuti Ranjan Bhattaharjya CCR-2041-DIC
200,Scheme of financial assistance for Setting up of Electronics and ICT Academics,"MEITY, New Delhi",Dr. Sanjeev Manhas MIT-896-ECD
201,MSR funding for outstanding Young Faculty Award Programme,"Microsoft Research Lab India Pvt. Ltd., Bangalore","Head, ECD MSR-906-ECD"
202,DIC Ph.D Fellowship,"MHRD, New Delhi",Dr. Sanjeev Manas DIC-1265-ECD
203,Young Faculty Research Fellowship,"Digital India Corporation, Mumbai",Dr. Meenakshi Rawat DIC-1370-ECD
204,INSPIRE Faculty award Programe,"DST, New Delhi",Dr. Debidas Kundu DST-1395-ECD
205,INSPIRE Faculty Award,"DST, New Delhi",Dr. Vishvendra Singh Poonia DST-1452-ECD
206,Radiation Hardened Memory and Logic Design using Hybrid Spintronic-CMOS Devices,"SERB, New Delhi",Dr. B.K. Kaushik SER-1488-ECD
207,Design and development of IoT based smart home automation system,"SIKONIC Holdings Co. Ltd., Japan",Prof. P.M. Pradhan SIK-1533-ECD
208,A design methodology for compute in memory SRAM marco for AI/ML applications in edge devices,"Semiconductor research corporation (SRC), United State",Prof. S. Dasgupta SRC-1546-ECD
209,Development of denoising and feature extraction algorithms for spatio-temporal event identification,"Logintech solutions private limited, Hyderabad",Prof. Pyari Mohan Pradhan LTS-1552-ECD
210,Design and fabrication of MEMs structure for MEMs structure for vibration sensing and energy harvesting,"ISRO, Bengaluru",Prof. Sanjeev Manhas STC-1558-ECD
211,A PSDOI (Partially Depleted silicon-on-Insulator) Analog cell library consisting 2 stage OPAMPs and comparators designed considering floating body (FB) and self heating (SH) effects,"ISRO, Bengaluru",Prof. Anand Bulusu STC-1559-ECD
212,Development of 1.8/5v/10v/20v I/0 Pads in SCL’S 0.18µm CMOS process.,"ISRO, Bengaluru",Prof. S. Dasgupta STC-1568-ECD
213,RF-System-on-chip Solutions of Tri-band for the IRNSS using CMOS/BiCOMS Process,ISRO. Bengaluru,Prof. Darshak Bhatt STC-1569-ECD
214,Affordable sub-millimeter/THz components using 3D printed dielectric integrated guides,"ISRO, Bengaluru",Prof. Nagendra Prasad Pathak STC-1570-ECD
215,Smart Contactless technology development for smart fencing,"DST, New Delhi",Prof. Anand Bulusu DST-1633-ECD
216,Design and Development of MIMO based microwave Imaging system for target detection and identification behind the wall,"MEITY, New Delhi",Prof. Dharmendra Singh MIT-1643-ECD
217,Creating a centre of excellence for drone research,"1994 Batch Donation Corpus  Dean Finance & Planning, IITR",Prof. Dharmendra Singh DFP-1641-CDR
218,Field versus temperature : on exploration of the switching behavior of gapless atomic switch to realize a color sensor,"SERB, New Delhi",Prof. Arnab Datta SER-1676-ECD
219,Hardware Implementation of Artificial Intelligence based object and motion detection,"DRDO, Dehradun",Prof. Brajesh Kumar Kaushik DRD-1695-ECD
220,"Characterization of memory and mobility, study of new channel materials","Applied Materials, USA",Prof. Sanjeev Manhas AMA-1715-ECD
221,“Modeling Research for BSIM Models,"University of California, (Berkeley)",Prof. Avirup Dasgupta UCB-1720-ECD
222,5G Communication Lab setup,"Jio Platform Limited, Ahmedabad",Prof. Meenakshi Rawat JPL-1721-ECD
223,Development of Auto-change Detection system for Gas pipeline ROU surveillance using satellite Images,"GAIL (India) Limited , Noida",Prof. Dharmendra Singh GAL-1745-ECD
224,Variability aware compact modeling nanosheet FETs,"SERB, New Delhi",Prof.Avirup Dasgupta SER-1760-ECD
225,Development and optimization of magnetic field tolerant spintronic devices targeted toward mobile and IoT Applications,"SERB, New Delhi",Prof. Tanmoy Pramanik SER-1781-ECD
226,Realizing cell- free massive MIMO for beyond 5G systems,"SERB, New Delhi",Prof. Abhay Kumar Sah SER-1794-ECD
227,Deep learning – based linguistic summarization of clustering results for enhanced understanding of novel datasets,"SERB, New Delhi",Prof. Dheeraj Kumar SER-1796-ECD
228,Development of a biomimetic quantum photovoltaic cell,"SERB, New Delhi",Prof. Vishvendra Singh Poonia SER-1808-ECD
229,On-Chip implementation and energy -efficient processing of ECG signals for Early detection of cardiovascular Diseases,"SERB, New Delhi",Prof. Bishnu Prasad Das SER-1809-ECD
230,Signal Processing based solutions for antenna positioning system,"Wellmatrix Co. Ltd. Changown, South Korea",Prof. Pyari Mohan Pradhan WMC-1873-ECD
231,Qualcomm Innovation Fellowship,Qualcomm Innovation Fellowship (India),Prof. Sourajeet Roy QIF-1878-ECD
232,3GPP Complaint PUCCH design for 5G-NR User,"M/s Spanidea Systems Pvt. Ltd Bengaluru, Karnataka",Prof. Ekant Sharma SPI-1868-ECD
233,Development of State-of the art novel algorithm for mapping and monitoring the flooded regions and partially submerged vegetation using multi temporal multi-frequency & multi polarization SAR data,"Indian Institute of Remote Sensing (IIRS), Dehradun",Prof. Dharmendra Singh IIR-1886-ECD
234,Development of Software for Authentication of Audio-Video Footage,"Directorate of Forensic Science Services, Ministry of Home Affairs",Prof. Vinod Pankajakshan MHA-1894-ECD
235,Development of Satellite interferometry based landslide early warning (Sin LEW) system,"Indian Institute of remote sensing (IIRS), Dehradun",Prof. Rajib Kumar Panigrahi IIR-1903-ECD
236,Investigation of mobility and contacts in 2D/few layers materials,Applied Materials Inc. (USA),Prof. Sanjeev Manhas AMA-1905-ECD
237,5G Advanced ORAN Massive NIMO Base Station,"IIITB COMET Foundation, Bengaluru",Prof. Ekant Sharma ITB-1907-ECD
238,Indigenization of Digitally tunable microstrip band pass filter for reconfigurable 5G Communication System,"SERB, New Delhi",Prof. Gowrish B. SER-1948-ECD
239,RJS Assisted cell-free NOMA system for 5G and beyond communication,"SERB, New Delhi",Prof. Ekant Sharma SER-1960-ECD
240,Machine learning based drowsiness detection for semi-automated driving applications in health 4.0 and industry 4.0,"SERB, New Delhi",Prof. Tharun Kumar Reddy SER-1968-ECD
241,Design of Analog-to-digital converters with a band pass frequency response for wireless applications,"SERB, New Delhi",Prof. Saravana kumar M SER-1971-ECD
242,Design and development of new prototype for RIS-aided communication,"IIITB COMET Foundation, Bengaluru",Prof. Ekant Sharma ITB-1983-ECD
243,research partnership agreement between WIPRO Ltd. And IIT Roorkee,"WIPRO Limited, Banglore",Prof. Kamal Rawat WPL-1998-ECD
244,Dual-frequency and polarimetric SAR observations of lumar polar region for water ice and surface roughness characterization/ Estimation,"ISRO, Bengaluru",Prof. Dharmendra Singh ISR-2032-ECD
245,an efficient use of e-waste and EM techniques for development of broad band radar wave absorbing materials,"SERB, New Delhi",Prof. Dharmendra Singh SER-2045-ECD
246,secure framework for IOT devices using physical unclonable functions on FPGAs,Data Security Council of India (UP),Prof. Bishnu Das DSC-2051-ECD
247,US-India Collaborative for Smart Distribution System with (UI-ASSIST),"IUSSTF, New Delhi",Dr. N.P. Padhy IUS-1132-EED
248,Virtual Labs Phase-III,"MHRD, New Delhi",Dr. R.S. Anand MHR-1221-EED
249,Demonstration of MW Scale Solar Energy Integration in weak grid using Distributed Energy Storage Architecture(D-SIDES),"DST, New Delhi",Dr. N.P. Padhy DST-1237-EED
250,Indo-Danish collaboration for data-driven control and optimization for a highly Efficient Distribution Grid (ID-EDGe),"DST, New Delhi",Dr. N.P Padhy DST-1390-EED
251,Development of power SiC Based Solid state distribution transformer for smart Grid,"SERB, New Delhi",Dr. M.K. Pathak IMP-1498-EED
252,Different energy vector integration for storage of energy (DEVISE),"DST, New Delhi",Prof. Vishal Kumar DST-1608-EED
253,Development of indigenous simulation model for design validation of power supply of high-speed railways,"National high speed rail corporation Limited, Delhi",Prof. Biswarup Das NRC-1642-EED
254,Parameter and topology estimation of distribution network,"SERB, New Delhi",Prof. Dheeraj k. Khatod SER-1667-EED
255,Analysis of stability and protection aspects of integrated solar energy and bioenergy system into a power system,"DST, New Delhi",Prof. ManojTripathy DST-1681-EED
256,Mobile substation and grid storage system (MOBISUB),"DST, New Delhi",Prof. Avik Bhattacharya DST-1687-EED
257,Development of Hydrogen Fuel Cell based hybrid power Train for Railway Vehicles,"DST, New Delhi",Prof. Bhavesh Kumar Bhalja DST-1733-EED
258,Development of active or passive leg exoskeleton based on series elastic actuation for assistance of elderly humans,"IHF Foundation for Cobotics (IHFC), Hauz Khas, Delhi",Prof. Felix Orlando Maria Joseph IHF-1746-EED
259,Mitigation of cyber attacks in power system using non-linear control system design,"IHUB NTIHAC Foundation, IIT Kanpur",Yogesh Vijay Hote INF-1748-EED
260,Development of grid forming controls for doubly fed induction machine based wind turbines (TYPE III Wind turbines),"SERB ,New Delhi",Prof. JishnuKavilKambrath SER-1761-EED
261,Design and development of high-power-density motor drives meant for high-speed applications,"SERB, New Delhi",Prof. Avinash Tripathi SER-1768-EED
262,Privacy Pricing in power systems under obfuscation,"SERB, New Delhi",Prof. Deep Kiran SER-1773-EED
263,Distributed sampled data control of autonomous multi vehicle systems,"SERB, New Delhi",Prof. Abhishek Kumar Behera SER-1785-EED
264,Impact Analysis and mitigation of cyber attacks on Microgrid SCADA,"CPRI, Banglore",Prof. ManojTripathy CPR-1797-EED
265,"Mission Innovation 2.0 – Green Powered Future Mission – Resources Unit for scientific & Technical Analysis, Management, and Coordination","DST, New Delhi",Prof. N.P.Padhy DST-1800-EED
266,Development of novel protection schemes for zonal DC Microgrid,"SERB, New Delhi",Prof. Premlata Jena SER-1801-EED
267,SERB-POWER Fellowship,"SERB, New Delhi",Prof. Premlata Jena SER-1851-EED
268,Development and validation of security solutions against various cyber attacks at substation transmission level for indian power grid network,"Central Power Research Institute, Banglore",Prof. Bhavesh kumar Bhalja CPR-1875-EED
269,Switching based PID control approach for automatic generation control (AGC) of power system with integration of Renewable Energy (RE) Sources,"CPRI, Banglore",Prof. Yogesh Vijay Hote CPR-1881-EED
270,"AI Enabled Algorithms for object detection, recognition & classification in thermal Imaging","DRDO, Dehradun",Prof. P. Sumathi DRD-1895-EED
271,Impedance calculation and load flow analysis in railway traction system,"Research Designs & Standards Organization (RDSO), Lucknow",Prof. Ganesh Balu Kumbhar RDS-1944-EED
272,Multiphase Inductive power transfer system for contactless fast charging of electric vehicles,"SERB, New Delhi",Prof. Apurv kumar Yadav SER-1967-EED
273,SERB-N-PDF,"SERB, New DELHI",Dr. Ekta Purwar SER-1994-EED
274,smart power sharing between solar PV-Bess energised AC micro-grid and utility mains,Ministry of Electronics & Information Technology,Prof. Sumit Ghatak Choudhuri MIT-1995-EED
275,Investigation of orthogonal regularized deepneural networks for classification tasks,"SERB, New Delhi",Prof. Jeevanand S. SER-2012-EED
276,Development of resilient and trust-based cooperative control schemes for multi-lane heterogeneous vehicle platooning mixed traffic scenarios,"SERB, New Delhi",Prof. Arnab Dey SER-2031-EED
277,Fault detection and localization in hybrid AC/DC mircogrid,"DST, New Delhi","Prof. Bhalja Bhaveshkumar R, DST-2044-EED"
278,Seismological Network around Tehri Region,"THDC, Rishikesh",Dr. M.L. Sharma THD-203-EQD
279,Operation and Maintenance of Seismological Network Around Tehri Region Operation of Strong Motion Accelerographs,"THDC, Rishikesh",Dr. M.L. Sharma THD-876-EQD
280,"Setting up of space technology cell (stc) at aridw institute of technology , Roorkee","ISRO, Bengaluru",Prof. Manish Shrikhande ISR-1557-STC
281,Sliding Mass floor system for seismic response control,"MoES, New Delhi",Prof. Manish Shrikhande MES-1701-EQD
282,Seismic safety of low & high rise buildings by using low-cost energy dissipating devices,"PHF Housing Finance LTD., New Delhi",Prof. Pankaj Agarwal PHF-1710-EQD
283,Testing of connection components,"Fischer Building Materials India Pvt.Ltd., Banglore",Prof. Saurabh Shiradhonkar FBM-1742-EQD
284,Sub Assemblage testing and study of seismic Brakes,"KLA, New Delhi",Prof. P.C. Ashwin Kumar KLA-1747-EQD
285,Seismic safety measures for RC Frame buildings with different types of infill panels,"NBCC (India) Limited , New Delhi",Prof. Yogendra Singh NBC-1183-EQD
286,Prefabricated prefinished volumetric construction using recycled plastic in connection with the prefabricated prefinished volumetric construction using recycled plastic technology of anant national university,"Ministry of housing and urban affairs, new delhi",Prof. P.C. Ashwin KUMAR ASH-1884-EQD
287,Prefabricated Prefinished Volumetric construction using recycled plastic in connection with the prefabricated prefinished volumetric construction using recycled plastic technology of anant national university,"Ministry of Housing and Urban Affairs, New Delhi",Prof. P.C. Ashwin Kumar ASH-1884-EQD
288,Pre cast reinforced concrete Planks in connection with the precast panel technology of M.Suresh Chawla,"Ministry of Housing and Urban Affairs, New Delhi",Prof. Saurabh Shiradhonkar ASH-1896-EQD
289,Corrosion test materials characterization of stainless steel,"SM Indian Welds Consultancy Pvt. Ltd., New Delhi",Prof. P.C. Ashwin Kumar SIW-1951-EQD
290,Micro-mechanics based fracture model for welded connection for avoiding brittle failure in steel member connections,"SERB, New Delhi",Prof. P.C. Ashwin Kumar SER-2036-EQD
291,Effect of torsional ground mation on code complaint buildings in seismic risk frame work,"SERB, New Delhi",Prof. Saurabh Shiradhonkar SER-2037-EQD
292,"Sequence stratigraphy of Bagh Group of rocks, Narmada rift Valley, Central India : its bearing on the Late Cretaceous paleogeography","MoES, New Delhi",Dr. B. Bhattacharyay MES-1392-ESD
293,A HPC software suite for seismic imoying to aid oil and gas exploration,"CDAC, Pune",Dr. Anand Joshi DAC – 1428-ESD
294,Estimation of actual evaporation from running water using stable water isotopes(d18O and ?d),"SERB, New Delhi",Dr. A.S. Maurya SER-1512-ESD
295,"Potential uranium mineralization in pernian barren measures formation, west bokaro Gondwana basin, eastern India.","DAE-BRNS, New Delhi",Prof. Biplab Bhattacharya DAE-1592-ESD
296,Mineral Exploration,"SAC-ISRO, Ahemdabad",Prof. Ajanta Goswami ISR-1605-ESD
297,Geological geophysical investigation and design and development of cyber- physical-system for early detection of landslide,"DST, New Delhi",Prof. Sarada Prasad Pradhan DST-1617-ESD
298,"Mercury : Constraints on the thermochemical evolution and internal differentiation from aridwar, experiments and geochemical modelling","SERB, New Delhi",Prof. Nachiketa Rai SER-1645-ESD
299,Optimal Route Alignment in Sikkim Area,"DRDO, Chandigarh",Prof. PitambarPati DRD-1682-ESD
300,"Fault-core damage zone architecture in the great boundary fault, rajasthan , India","CSIR, New Delhi",Prof. D.C.Srivastava CSR-1688-ESD
301,Tectonic Evolution of the High-Grade Terrains around the archaean Banded gneissic complex in southern rajasthan and their relations to aridwarc super continent cycles: A petrochronological study,"CSIR, New Delhi",Prof. LopamudraSaha CSR-1704-ESD
302,Estimates of Paleostress stress states from heterogeneous fault,"MoES, New Delhi",Prof. D.C.Srivastava MES-1707-ESD
303,Evolution of fabric in isotrophicmedium : A case study of breach granitoid and its implication for terrane accretion,"SERB, New Delhi",Prof. Sandeep Bhatt SER-1758-ESD
304,Late Quaternary Peleoceanography of the northern Indian Ocean and its impact on global climate modulation,"SERB, New Delhi",Prof. Dharmendra Pratap Singh SER-1771-ESD
305,Seismic imaging of the central aridwar using spectral- element methodology,"SERB, New Delhi",Prof. Vipul Silwal SER-1780-ESD
306,SERB-NPDF,"SERB, New Delhi",Dr. Debajit Datta SER-1782-ESD
307,"Fluid inclusions and hydrothermal alteration studies of mineralized zones in paramanahalli gold prospect, chitradurga greenstone belt, karnataka","SERB, New Delhi",Prof. Rajagopal Krishnamurthi SER-1784-ESD
308,Paleocene - oligocene seawater temperature variability Implications for future climate change,"SERB, New Delhi",Prof. Dharmendra Pratap Singh SER-1946-ESD
309,Nature of Proterozoic gold reserviors : Evidence from the lawa gold deposit north singh bhum mobile beet eastern india,"SERB, New Delhi",Prof. Rajarshi Chakravarti SER-1953-ESD
310,A high - resolution study of Indian monsoon variability and its teleconnections during the holocene,"SERB, New Delhi",Prof. Champoungam Panmei SER-1957-ESD
311,Earthquake warning system (EEWS) using deep learning approaches,"Ministry of Earth Sciences, New Delhi",Prof. Anand Joshi MOE-1977-ESD
312,Image based feature extraction using AI & Ml for quantification fo complex subsurface pore scale structures to assess the impact of CO2 + H2 storage,"Kaunas University of Technology, Lithuania",Prof. Ravi Sharma KUT-1980-ESD
313,Tectono- climatic influence on the growth of terminal fans in the ganga plain,"SERB, New Delhi",Prof. Pitambar Pati SER-2047-ESD
314,Assessing the exchange between groundwater and surface water to understand the major factors controlling the long term quality and quantity of water reserves in the indian himalayan watershed with special attention to the dehradun region,"SERB, New Delhi",Prof. Pallavi Chattopadhyay SER-2049-ESD
315,Central Sector Scheme for Massive Online Open Courses (MOOCs) Compliant e-content creation – regarding (NPTEL Phase IV),"MHRD, New Delhi","Dr. B.K. Gandhi, Coordinator, E.T. Cell MHR-937-ETC"
316,Interlinkage of ecosystem services and human wellbeing to enhance climate smart landscapes in small watersheds : analysis for policy-relevant solutions in south Asian context,Prof. Subir Sen,Prof. Subir Sen APN-1494-HSD
317,"Comparative Impact Assessment of COVID 19 on livelihoods, employment challenges and opportunities : a case study of selected aridw and south aridwa‘Gig’ economy industries","ICSSR, New Delhi",Prof. Pratap Chandra Mohanty ICS-1735-HSD
318,Performance benchmarking of school education systems in BIMARU status of India,"ICSSR, New Delhi",Prof. Rachita Gulati ICS-1880-HSD
319,Assessment of ecological damage and NPV of future ecosystem services foregone an account of illegal mining sites in subarnarekha river odhisha and west bengal,"Institute of Forest Biodiversity, Indian Council of Forestry Research & Education",Prof. Dipti mayee Nayak IFB-1897-HSD
320,Participatory action research in select micro watersheds in uttarakhand,Institute funded sponsored research Project,Prof. S.P. Singh ITR-1926-HSD
321,Motivational and cognitive determinants of self regulated learning in vocation-focused online course : A case study of Newton School,"Newton School Incanus technologies pvt. Ltd., Banglore",Prof. Ram Manohar Singh NSI-2027-HSD
322,Real time discharge estimation using non-contact hydrometrics measurements,"MoES, New Delhi",Dr. Manoj Kumar Jain MES-1407-HYD
323,Hydro-Geological Assessment and socio-Economic implications of Depleting water resouces in tourist towns of uttarakhand,"Ministry of Jal Shakti, New Delhi",Dr. Sumit Sen MJS-1487-HYD
324,An efficient aquifer storage method for enhanced recovery of recharged freshwater in saline regions,"DST, New Delhi",Prof. Brijesh Kumar Yadav DST-1574-HYD
325,Theory of change observatory on disaster resilience,"USP, Brazil",Prof. N.K. Goel USP-1575-HYD
326,Comparing the disparate impacts of oak and chir pine tree spices on their local hydrological and hydroclimatic regimes in the west-central Himalays,"NISER, Bhubaneshwar",Prof. Sumit Sen STR-1598-HYD
327,Co-Prepare : collaborative Indo-German project on estimating and predicting natural hazards in the aridwar region,"University Grants Commission, New Delhi",Prof. Ankit Agarwal UGC-1670-HYD
328,Spring Rejuvenation study in Mizoram : A pilot study for the selected villages of the mengpui Basin”,"Under National Hydrology Project , Government of Mizoram",Prof. Sumit Sen NHP-1673-HYD
329,Sediment study and management of soil erosion in the mat driver catchment,"Under National Hydrology Project, Government of Mizoram",Prof. Brijesh Kumar Yadav NHP-1678-HYD
330,Development and Implementation of Science-based Springshed Management in the Indian Himalayan Region,"International Centre for Integrated Mountain Development, Nepal",Prof. Sumit Sen IMD-1719-HYD
331,Dynamics of glaciers degradation due to climate change and its impacts on river flow in the mountain system of uzbekistan,"DST, New Delhi",Prof. ManojKumar Jain DST-1752-HYD
332,CocreatingsustainbaleArgiwater use in the Hindon Sub basin – A multi Scale Participatory approach,"DST, New Delhi",Prof. Brijesh Kumar Yadav DST-1813-HYD
333,Enhanced treatment of tannery wastewater by membrane and capacitive deionization (CDI) with waste minimization in Haridwar region,"DST, New Delhi",Dr.Pinki Sharma (Women Scientist – A) DST-1854-HYD
334,Anomalous Moisture Transport for Hydrological extremes in a Changing Climate AMOTHEC,"DST, New Delhi (Indo - Portugal)",Prof. Ankit Agarwal DST-1917-HYD
335,Advanced Nanocomposite Polymeric membranes for conversion of wastewater into potable water and revitalization of air in space,"ISRO, Bengaluru",Prof. Bhaskar Jyoti Deka STC-1941-HYD
336,Hydrological studies of ganga flood plain (Hydro Flood),"IRD, Thailand",Prof. Ankit Agarwal IRD-1945-HYD
337,Regional cooperation for freshwater ecosystem services in himalayas (REFRESH) : understanding the influences of monsoon variability and compound extremes,"Asia Pacific Network (APN), Tokyo, Japan",Prof. Ashutosh Sharma APN-1959-HYD
338,Development of omniphobic nanofibrous membrane for hybrid absorbent-membrane distillation technology to achieve nearly zero liquid discharge and resources recovery from seawater brine waste,"SERB, New Delhi",Prof. Bhaskar Jyoti Deka SER-1966-HYD
339,Probabilistic floods and sediment transport forecasting in the himalayas during the extreme events,"DST, New Delhi",Prof. Sumit Sen
340,Protecting human health through a one health approach,"International water management institute, Sri lanka",Prof. Himanshu Joshi IWM-2035-HYD
341,International Centre of excellence for dams (ICOED),"Central water commission, Department of water resources, River development & Ministry Jal Shakti, Government of India",Prof. N.K. Goel ICD-2043-MJS
342,"Facilitating Upgrade and Operational of Existing High End Computing and Web Application Infrastructure in Place at ICC, IIT Roorkee for Academic and Research Community",IIT Roorkee,"Head, ICC ITR-1166-ICC"
343,Fabrication of high energy density thin film based on chip supercapacitor devices using reactive magnetron sputtering technique,"DST, New Delhi",Dr. Ramesh Chandra DST-1437-IIC
344,INSPIRE Faculty Award,"DST, New Delhi",Dr. Manil.T.Mohan DST-1263-MTD
345,Development of advanced computational algorithms for evaluating post-surgery rehabilitation,"DST, New Delhi",Prof. Sanjeev Kumar DST-1577-MTD
346,Transition characteristics of isothermal and non-isothermal poiseuille flow in a fluid overlying a porous medium,"SERB, New Delhi",Prof. PremanandBera SER-1595-MTD
347,Analysis of an efficient and fast numerical method for poroelasticity with uncertain inputs,"SERB, New Delhi",Prof. Arbaz Khan SER-1621-MTD
348,Development of encryption and secret sharing schemes for quantum Images,"SERB, New Delhi",Prof. Sanjeev Singh SER-1623-MTD
349,Implementation of multi-fluid population balance method for the nonlinear coupled Maxwellian averaged transport equations,"SERB, New Delhi",Prof. Ameeya Kumar Nayak SER-1627-MTD
350,Construction and analysis of Locally Recoverable Codes,"SERB, New Delhi",Prof. Maheshanand SER-1630-MTD
351,Non-Linear stability theory of non-isothermal parallel flow in a vertical annulus filled with high permeable porous medium,"SERB, New Delhi",Prof. PremandaBera SER-1631-MTD
352,"Lie symmetry analysis, simulation and lyapunov stability analysis of the hyperbolic systems","DST, New Delhi",Prof. Ram Jiwari DST-1657-MTD
353,various coloring parameters of distance graphs and motzkin's maximal density of sets,"CSIR, New Delhi",Prof. Ram Krishan Pandey CSR-1696-MTD
354,Theoretical analysis and simulation to capture complex patterns of nonlinear reaction-diffusion models,"DAE, Mumbai",Prof. Ram Jiwari DAE-1698-MTD
355,Computational aspects in biothogonal rational function related to infinite gap jacobi matrices logarithmic capacity and their asymptotics,"DAE, Mumbai",Prof. A.Swaminathan DAE-1699-MTD
356,Inverse problems associated with certain sunsets in additive number theory,"DAE, Mumbai",Prof. Ram Krishna Pandey DAE-1706-MTD
357,Collision-induced fragmentation and coagulation : dynamics and numerics,Indo-French Centre for Applied Mathematics (IFCAM),Prof. Ankik Kumar Giri IFC-1727-MTD
358,Minimizing the side effects of various vaccines for Ncovid-19 using advanced Data Analytics and Nature Inspired Optimization Techniques,"DST, New Delhi",Prof. Kusum Deep DST-1729-MTD
359,On certain multiplicity one results,"SERB, New Delhi",Prof. MahendraKumar Verma SER-1818-MTD
360,BCL Representation for ISOMETRIES AND INVARIANT SUBSPACES,"SERB, New Delhi",Prof. Amit Maji SER-1821-MTD
361,Stochastic analysis of the convective Brinkman Forchheimer equations perturbed by levy noise,"SERB, New Delhi",Prof. Manil T. Mohan SER-1827-MTD
362,Fast and Robust numerical algorithms for 2D unsteady state convection Dominated singularly perturbed parabolic models : Theoretical analysis and computational modeling,"SERB, New Delhi",Prof. Ramjiwari SER-1833-MTD
363,Optimal Control of doubly diffusive flows : theoretical sudies and numerical analysis,"SERB, New Delhi",Prof. Arbaz Khan SER-1840-MTD
364,A study of convergence Properties of the corrected fourier series and its applications,"SERB, New Delhi",Prof. Uaday Singh SER-1842-MTD
365,A study of Semilinear differential equations with non-densely defined operators,"SERB ,New Delhi",Prof. DwijendraNarain Pandey SER-1845-MTD
366,Qualitative analysis of differential equations and inclussions with general nonlocal conditiions,"SERB ,New Delhi",Prof. DwijendraNarain Pandey SER-1846-MTD
367,Development of lattice-based encryption and digital signature algorithms for quantum - safe cryptography,"DRDO, Bengaluru",Prof. Aditi Gangopadhyay DRD-1865-MTD
368,An Application of Artificial Intelligence in Elementry Mathematics Education,MyLq Pvt. Ltd. (Chevayur Kozhikode),Prof. S.K. Gupta MLP-1893-MTD
369,NBHM Post Doctoral Fellowship,"DAE, Mumbai",Dr. Lateef Ahmad Wani (NBHM-PDF) DAE-1914-MTD
370,Stability analysis of two phase multicomponent convective flow in fluid - porous layer and its fully discrete finite element approximation,"Department of Atomic Energy, Mumbai",Prof. Ameeya Kumar Nayak DAE-1930-MTD
371,INSPIRE Faculty Fellowship,"DST, New Delhi Transfer from IISER, Mohali to I.I.T. Roorkee",Prof. Sugandha Maheshwary DST-1932-MTD
372,the discrete coagulations equations with collisional breakage,"SERB, New Delhi",Prof. Ankik kumar Giri SER-2006-MTD
373,Construction of entanglement assisted quantum error-correcting codes from linear codes,"SERB, New Delhi",Prof. Maheshanand SER-2007-MTD
374,Epidemiology of leptospirosis in india - a study based on mathematical modelling,"SERB, New Delhi",Prof. Sandip Banerjee SER-2009-MTD
375,Fast & Computationally efficient interative regularization methods for solving inverse problems,"SERB, New Delhi",Prof. Ankik kumar Giri SER-2024-MTD
376,Financial Plan Max-Planck Seat Legal Status and Financial Year,"Max Planck India Partner Group, Germany",Dr. Sai RamuduMeka MPG-1072-MMD
377,INSPIRE Faculty award,"DST, New Delhi",Dr. Anish Karmakar DST-1361-MMD
378,INSPIRE Faculty Award,"DST, New Delhi",Dr. V.A. Baheti DST-1501-MMD
379,Hot deformation simulation study of alloy 625 and its high temperature fatigue behaviour in indian context,"SERB, New Delhi",Dr. SuhritMula SER-1515-MMD
380,Design of stainless steel chemistry for realization of colossal nitrogen super saturation upon low temperature nitriding,"SERB, New Delhi",Prof. Sai RamuduMeka SER-1616-MMD
381,3D Bio-stereolithography for engineering functional tissues,"SERB, New Delhi",Prof. DebrupaLahiri SER-1538-MMD
